"id","scientificName","State","recordedBy","year"
56661501,"COCCINELLIDAE","Illinois","Freed, J.M.",1992
56661512,"COCCINELLIDAE","Illinois","Wilson K.",2008
56664507,"COCCINELLIDAE","Illinois","Burke D.",1988
56664508,"COCCINELLIDAE","Illinois","Keator S.",1974
56664509,"COCCINELLIDAE","Illinois","Mekus Kathy",1972
56664511,"COCCINELLIDAE","Iowa","DeVoss Marley; Tierney Brosius",2018
56664515,"COCCINELLIDAE","Illinois","Frese H.",1997
56664527,"COCCINELLIDAE","Illinois","Gurrieri B",1986
56664533,"COCCINELLIDAE","Illinois","Gonzalez M",1997
56664539,"CHILOCORUS STIGMA","Montana","Larson I.W.",1993
56664541,"CHILOCORUS STIGMA","Illinois","Dishno T.",1994
56665711,"CHILOCORUS STIGMA","Illinois","Bawden C.",1971
56665712,"CHILOCORUS STIGMA","Illinois","Lingwall M. J.",1970
56665713,"HIPPODAMIA CONVERGENS","Colorado","Larson I.W.",1970
56665747,"HIPPODAMIA CONVERGENS","Colorado","Larson I.W.",1981
56665752,"HIPPODAMIA CONVERGENS","Illinois","Barnet M.",1974
56665762,"HIPPODAMIA CASEYI","Kansas","Larson I.W.",1956
56665771,"HIPPODAMIA CONVERGENS","Illinois","Canty T. C.",1970
56665774,"HIPPODAMIA PARENTHESIS","Illinois","Carlson C. A.",1965
56665777,"HIPPODAMIA PARENTHESIS","Illinois","Simonis R.",1978
56665787,"HIPPODAMIA TREDECIMPUNCTATA","Illinois","Carlson C. A.",1965
56665789,"HIPPODAMIA TREDECIMPUNCTATA","Illinois","Carlson C. A.",1965
56665795,"HIPPODAMIA TREDECIMPUNCTATA","Illinois","Lindquist A.",1972
56667624,"BRACHIACANTHA URSINA","Illinois","Schroder S. W.",1975
56667633,"BRACHIACANTHA URSINA","Illinois","Carlson C. A.",1966
56667640,"BRACHIACANTHA URSINA","Illinois","Tindall Joe",1965
56667646,"BRACHIACANTHA URSINA","Illinois","Tindall Joe",1965
56667650,"BRACHIACANTHA URSINA","Illinois","Carlson C. A.",1966
56667653,"BRACHIACANTHA URSINA","Illinois","Yazsec J.",1976
56667658,"BRACHIACANTHA URSINA","Illinois","Bennett S.",1975
56667660,"BRACHIACANTHA URSINA","Iowa","Swiff J.",1986
56682390,"PSYLLOBORA VIGINTIMACULATA","Illinois","Yazsec J.",1976
56682393,"PSYLLOBORA VIGINTIMACULATA","Illinois","Domlgaen D.J.",1970
56682397,"PSYLLOBORA VIGINTIMACULATA","Illinois","Dahlgren D.J.",1970
57239600,"COCCINELLIDAE","Illinois","Mekus G.I.",1970
57306011,"COLEOMEGILLA MACULATA FUSCILABRIS","Minnesota","Larson I. W.",1953
57306030,"CYCLONEDA SANGUINEA LIMBIFER","Illinois","Carlson C.",1965
57306031,"COLEOMEGILLA MACULATA FUSCILABRIS","Illinois","KOURAKOS J. N.",1970
57306032,"CYCLONEDA SANGUINEA LIMBIFER","Illinois","Nelson A.",1970
57306033,"COLEOMEGILLA MACULATA FUSCILABRIS","Illinois","LEHMANN W. G.",1970
57306034,"CYCLONEDA SANGUINEA LIMBIFER","Illinois","Carlson C.A.",1965
57306035,"ANATIS MALI","Minnesota","LARSON I. W.",1955
57306037,"OLLA V-NIGRUM","Illinois","Brugge D.",1974
57306038,"ANATIS LABICULATA","Illinois","Carlson C. A.",1964
57306039,"OLLA V-NIGRUM","Illinois","Brugge D.",1974
57306040,"ANATIS LABICULATA","Minnesota","LARSON I. W.",1955
57306041,"OLLA V-NIGRUM","Illinois","Carter J.",1974
57306043,"ANATIS LABICULATA","Michigan","LARSON I. W.",1955
57306044,"ADALIA BIPUNCTATA","Illinois","Makus G. I.",1970
57306045,"ADALIA BIPUNCTATA","Illinois","KOURAKOS J. N.",1970
57306046,"ADALIA BIPUNCTATA","Illinois","Barnett M.",1974
57306047,"COCCINELLA TRANSVERSOGUTTATA","Minnesota","Larson I.W.",1980
57306050,"COCCINELLA TRANSVERSOGUTTATA","Minnesota","Larson I.W.",1980
57306054,"EPILACHNA VARIVESTIS","Illinois","Herzfeldt R. R.",1970
57306057,"EPILACHNA VARIVESTIS","Illinois","Mekus K.",1972
57306059,"EPILACHNA VARIVESTIS","Illinois","Fusco B.",1972
57306061,"HYPERASPIS SIGNATA","Kansas","Larson I.W.",1983
57306064,"PSYLLOBORA VIGINTIMACULATA","Illinois","Miller S.",1980
57306065,"PSYLLOBORA VIGINTIMACULATA","Illinois","Trick C.",1980
57306067,"COLEOMEGILLA MACULATA","Illinois","Tamplin J.",1983
57306069,"PSYLLOBORA VIGINTIMACULATA","Illinois","Deip R.",1976
57306070,"COLEOMEGILLA MACULATA","Illinois","Rigdon S.",1982
57306072,"COLEOMEGILLA MACULATA","Iowa","Lavelle S.",2016
57306074,"COLEOMEGILLA MACULATA","Illinois","Dulaney S.",1980
57306075,"COLEOMEGILLA MACULATA","Illinois","Solberg L.",1982
57306076,"COLEOMEGILLA MACULATA","Illinois","Dulaney S.",1980
57306077,"COLEOMEGILLA MACULATA","Iowa","Claeys C.",1995
57306078,"COLEOMEGILLA MACULATA","Illinois","Clark",1999
57306079,"COLEOMEGILLA MACULATA","Illinois","Rigdon S.",1982
57306080,"COLEOMEGILLA MACULATA","Illinois","Grinnan",1999
57306081,"COLEOMEGILLA MACULATA","Illinois","Young B. A.",1980
57306082,"COLEOMEGILLA MACULATA","Illinois","Cohen E.",1965
57306083,"COLEOMEGILLA MACULATA","Illinois","Carlson C. A.",1965
57306085,"COLEOMEGILLA MACULATA","Illinois","Bork A.",1997
57306086,"COLEOMEGILLA MACULATA","Illinois","Koelling K.",1999
57306089,"COLEOMEGILLA MACULATA","Illinois","Bassler M.",1981
57306093,"COLEOMEGILLA MACULATA","Illinois","Good B.",2008
57306096,"COLEOMEGILLA MACULATA","Illinois","Blakle J.",1976
57306097,"COLEOMEGILLA MACULATA","Illinois","Munson R. C.",1970
57306100,"COLEOMEGILLA MACULATA","Illinois","Carlson C. A.",1965
57306105,"COLEOMEGILLA MACULATA","Illinois","Galers H.",1984
57306106,"COLEOMEGILLA MACULATA","Illinois","Hutchins K.",1977
57306111,"COLEOMEGILLA MACULATA","Illinois","Gerasch Andrew",2018
57306114,"COLEOMEGILLA MACULATA","Illinois","Natzite R. A.",1986
57306118,"COLEOMEGILLA MACULATA","Illinois","Campacona J.",1976
57306123,"COLEOMEGILLA MACULATA","Illinois","Martinez B.",1986
57306133,"COLEOMEGILLA MACULATA","Illinois","Johnson A.",1982
57306134,"COLEOMEGILLA MACULATA","Illinois","Gevac S.",1976
57306135,"COLEOMEGILLA MACULATA","Illinois","Burke K.",1986
57306136,"COLEOMEGILLA MACULATA","Illinois","Triebs E.",1980
57306137,"COLEOMEGILLA MACULATA","Illinois","Carlson C. A.",1965
57306138,"COLEOMEGILLA MACULATA","Illinois","Ebert J.",1999
57306158,"COLEOMEGILLA MACULATA","Illinois","Lindquist A.",1972
57306159,"COLEOMEGILLA MACULATA","Illinois","Benson B.",1985
57306160,"COLEOMEGILLA MACULATA","Illinois","O'Shea K.",1982
57306161,"COLEOMEGILLA MACULATA","Illinois","Faivre",1997
57306163,"COLEOMEGILLA MACULATA","Illinois","Decker R.",1999
57306165,"COLEOMEGILLA MACULATA","Illinois","Guerrian B.",1986
57306177,"CHILOCORUS STIGMA","Illinois","Bassler M.",1981
57306178,"ADALIA BIPUNCTATA","Illinois","Sweet J. A.",1970
57306181,"ADALIA BIPUNCTATA","Iowa","Carlson C. A.",1965
57306183,"ADALIA BIPUNCTATA","Illinois","Dulaney S.",1980
57306184,"ADALIA BIPUNCTATA","Illinois","Makus G. I.",1970
57306186,"ADALIA BIPUNCTATA","Iowa","Carlson C. A.",1965
57306189,"ADALIA BIPUNCTATA","Illinois","Loueh S.",1975
57306190,"ADALIA BIPUNCTATA","Illinois","",1970
57306193,"ADALIA BIPUNCTATA","Illinois","Lamdahl",1970
57306195,"ADALIA BIPUNCTATA","Iowa","Carlson C. A.",1959
57306198,"ADALIA BIPUNCTATA","Iowa","Carlson C. A.",1965
57306199,"ADALIA BIPUNCTATA","Iowa","Carlson C. A.",1965
57306204,"HIPPODAMIA CONVERGENS","Illinois","Carlson C. A.",1965
57306208,"HIPPODAMIA CONVERGENS","Illinois","Ehles H.",1984
57306212,"HIPPODAMIA CONVERGENS","Illinois","Carlson C. A.",1965
57306218,"HIPPODAMIA CONVERGENS","Illinois","Wym Bob",1974
57306219,"HIPPODAMIA CONVERGENS","Illinois","Hunnicutt D.",1984
57306220,"HIPPODAMIA CONVERGENS","Illinois","Carlson C. A.",1964
57306221,"HIPPODAMIA CONVERGENS","Illinois","Carlson C. A.",1965
57306222,"CYCLONEDA SANGUINEA","Illinois","Camdaomla J.",1970
57306224,"CYCLONEDA SANGUINEA","Illinois","Wright",1996
57306225,"CYCLONEDA SANGUINEA","Illinois","Hartz D.",1974
57306226,"CYCLONEDA SANGUINEA","Illinois","Carlson C. A.",1965
57306227,"CYCLONEDA SANGUINEA","Illinois","Stambolis",1970
57306228,"CYCLONEDA SANGUINEA","Illinois","LEHMANN W. G.",1970
57306229,"CYCLONEDA SANGUINEA","Illinois","Tindall Joe",1965
